Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
8953,Wilmington,19810,02/09/2017,PV,Residential,5.98,,,,36764.00,1000.00,rooftop,lease,Paid
8523,Ocean View,19970,11/03/2016,PV,Residential,5.98,,,,67226.00,1000.00,rooftop,ppa,Paid
9372,Wilmington,19808,02/15/2018,PV,Residential,5.985,,,,31421.00,2992.50,rooftop,owned,Paid
R00085,Bear,19701,03/01/2006,PV,Residential,6,,,,54000.00,21375.00,,,Paid
R00091,Greenville,19807,03/24/2006,PV,Residential,6,,,,49500.00,22500.00,,,Paid
R00098,Wilmington,19808,05/19/2006,PV,Residential,6,,,,45000.00,22500.00,,,Paid
R00099,Newark,19711,05/19/2006,PV,Residential,6,,,,45000.00,22500.00,,,Paid
R00142,Middletown,19709,10/03/2006,PV,Residential,6,,,,49500.00,22500.00,,,Paid
R00204,Dover,19901,05/25/2007,PV,Residential,6,,,,45000.00,22500.00,,,Paid
R00241,Townsend,19734,08/15/2007,PV,Residential,6,,,,44969.00,22484.00,,,Paid
R00258,Bear,19701,09/21/2007,PV,Residential,6,,,,47171.00,23585.50,,,Paid
R00388,Wilmington,19803,05/12/2008,PV,Residential,6,,,,47171.00,23585.00,,,Paid
R00434,Wilmington,19808,07/22/2008,PV,Residential,6,,,,56420.00,28210.00,,,Paid
R00443,Rehoboth Beach,19971,07/22/2008,PV,Residential,6,,,,49500.00,24750.00,,,Paid
R00467,Middletown,19709,08/11/2008,PV,Residential,6,,,,48000.00,24000.00,,,Paid
R00549,Lewes,19958,10/06/2008,PV,Residential,6,,,,49500.00,24750.00,,,Paid
R00641,Felton,19943,12/22/2008,PV,Residential,6,,,,48220.00,24110.00,,,Paid
R01359,Hockessin,19707,08/23/2011,PV,Residential,6,,,,29000.00,7000.00,,,Paid
R01440,Bear,19701,10/25/2011,PV,Residential,6,,,,31000.00,7000.00,,,Paid - ARRA
R01622,Middletown,19709,09/10/2012,PV,Residential,6,,,,28380.00,7000.00,,,Paid
R01806,Claymont,19703,07/08/2013,PV,Solar Lease,6,,,,30600.00,7000.00,,,Paid
R01845,Ocean View,19970,08/05/2013,PV,Residential,6,,,,22400.00,7000.00,,,Paid
R01854,Lewes,19958,08/20/2013,PV,Residential,6,,,,29175.00,7000.00,,,Paid
R01888,Ocean View,19970,09/23/2013,PV,Residential,6,,,,29975.00,7000.00,,,Paid
R01952,Ocean View,19970,11/19/2013,PV,Residential,6,,,,32400.00,7000.00,,,Paid
R02005,Selbyville,19975,11/21/2013,PV,Non_Residential,6,,,,21000.00,7000.00,,,Paid
R01996,Lewes,19958,01/06/2014,PV,Residential,6,,,,32000.00,7000.00,,,Paid
R02064,Lewes,19958,03/25/2014,PV,Residential,6,,,,30000.00,7000.00,,,Paid
R02108,Rehoboth Beach,19971,05/01/2014,PV,Residential,6,,,,19500.00,7000.00,,,Paid
R02124,Ocean View,19970,05/06/2014,PV,Residential,6,,,,32700.00,7000.00,,,Paid
R02123,New Castle,19720,05/06/2014,PV,Solar Lease,6,,,,24930.00,7000.00,,,Paid
R02197,Lewes,19958,06/17/2014,PV,Residential,6,,,,19271.00,7000.00,,,Paid
R02232,Bear,19701,06/26/2014,PV,Solar PPA,6,,,,30600.00,7000.00,,,Paid
5330,Lewes,19958,11/17/2014,PV,Residential,6,,,,17900.00,4500.00,rooftop,owned,Paid
5387,Georgetown,19947,11/18/2014,PV,Residential,6,,,,30000.00,4500.00,rooftop,lease,Paid
5500,Selbyville,19975,12/12/2014,PV,Residential,6,,,,29401.00,4500.00,rooftop,ppa,Paid
5317,Lewes,19958,01/23/2015,PV,Residential,6,,,,18000.00,4500.00,rooftop,lease,Paid
5338,Milton,19968,01/23/2015,PV,Residential,6,,,,18000.00,4500.00,rooftop,lease,Paid
5836,Bethany Beach,19930,02/12/2015,PV,Residential,6,,,,45000.00,4500.00,rooftop,lease,Paid
5861,Milton,19968,02/27/2015,PV,Residential,6,,,,32400.00,4500.00,rooftop,owned,Paid
5896,Milton,19968,06/26/2015,PV,Residential,6,,,,18000.00,4500.00,rooftop,lease,Paid
6930,Ocean View,19970,10/19/2015,PV,Residential,6,,,,19800.00,2950.00,rooftop,owned,Paid
6971,Rehoboth Beach,19971,10/30/2015,PV,Residential,6,,,,19800.00,2950.00,rooftop,owned,Paid
7216,Lewes,19958,03/04/2016,PV,Residential,6,,,,18000.00,1000.00,rooftop,lease,Paid
7476,Frankford,19945,03/09/2016,PV,Residential,6,,,,22200.00,1000.00,rooftop,lease,Paid
7501,Wilmington,19804,04/14/2016,PV,Residential,6,,,,30000.00,1000.00,rooftop,ppa,Paid
9510,Hockessin,19707,05/14/2018,PV,Residential,6,,,,19500.00,3000.00,rooftop,owned,Paid
9585,Middletown,19709,08/17/2018,PV,Residential,6,,,,25000.00,3000.00,ground,owned,Paid
9592,Camden-Wyoming,19934,09/04/2018,PV,Residential,6,,,,17400.00,3000.00,rooftop,owned,Paid
R01248,Wilmington,19809,03/22/2011,PV,Residential,6.02,,,,42145.00,7015.00,,,Paid
R01992,Greenwood,19950,01/02/2014,PV,Residential,6.05,,,,16940.00,7037.50,,,Paid
9219,Ocean View,19970,01/25/2018,PV,Residential,6.05,,,,30800.00,3000.00,rooftop,owned,Paid
9319,Ocean View,19970,11/27/2018,PV,Residential,6.05,,,,29900.00,3000.00,rooftop,owned,Paid
9324,Ocean View,19970,11/28/2018,PV,Residential,6.05,,,,30800.00,3000.00,rooftop,owned,Paid
9235,Ocean View,19970,12/26/2018,PV,Residential,6.05,,,,29900.00,3000.00,rooftop,owned,Paid
9298,Ocean View,19970,12/18/2018,PV,Residential,6.05,,,,29500.00,3000.00,rooftop,owned,Paid
9337,Ocean View,19970,12/03/2018,PV,Residential,6.05,,,,29500.00,3000.00,rooftop,owned,Paid
9348,Ocean View,19970,12/07/2018,PV,Residential,6.05,,,,29500.00,3000.00,rooftop,owned,Paid
R00681,Middletown,19709,02/13/2009,PV,Residential,6.075,,,,47992.50,23996.25,,,Paid
R00522,Smyrna,19977,09/30/2008,PV,Residential,6.08,,,,53210.00,26605.00,,,Paid
R00938,Millsboro,19966,11/12/2009,PV,Residential,6.09,,,,36781.83,9195.45,,,Paid
9364,Rehoboth Beach,19971,11/20/2017,PV,Residential,6.09,,,,15500.00,3000.00,rooftop,owned,Paid
9450,Selbyville,19975,03/06/2018,PV,Residential,6.09,,,,14000.00,3000.00,rooftop,owned,Paid
9316,Ocean View,19970,09/04/2018,PV,Residential,6.09,,,,14000.00,3000.00,rooftop,owned,Paid
9626,New Castle,19720,10/24/2018,PV,Residential,6.09,,,,42078.00,3000.00,rooftop,owned,Paid
9610,Newark,19702,02/18/2019,PV,Residential,6.09,,,,31000.00,3000.00,rooftop,owned,Paid
7870,South Bethany Beach,19930,09/14/2016,PV,Residential,6.095,,,,43632.00,1000.00,rooftop,ppa,Paid
8113,New Castle,19720,09/26/2016,PV,Residential,6.095,,,,27123.00,1000.00,rooftop,ppa,Paid
8237,Wilmington,19810,09/27/2016,PV,Residential,6.095,,,,42453.00,1000.00,rooftop,lease,Paid
8434,Townsend,19734,10/17/2016,PV,Residential,6.095,,,,21999.00,1000.00,rooftop,ppa,Paid
7923,Middletown,19709,10/27/2016,PV,Residential,6.095,,,,62500.00,1000.00,rooftop,lease,Paid
7151,Milford,19963,03/18/2016,PV,Residential,6.095,,,,72875.00,1000.00,rooftop,lease,Paid
7868,Middletown,19709,08/15/2017,PV,Residential,6.095,,,,57783.00,1000.00,rooftop,ppa,Paid
7555,Wilmington,19810,05/02/2016,PV,Residential,6.095,,,,30475.00,1000.00,rooftop,ppa,Paid
R01209,Ocean View,19970,12/20/2010,PV,Residential,6.105,,,,31028.66,7757.17,,,Paid - ARRA
R01308,Wilmington,19808,06/16/2011,PV,Residential,6.11,,,,32691.87,7082.50,,,Paid - ARRA
R01338,Ocean View,19970,08/05/2011,PV,Residential,6.11,,,,38532.00,7082.50,,,Paid - ARRA
R01366,Newark,19702,09/07/2011,PV,Residential,6.11,,,,29674.00,7082.50,,,Paid
NR00245,Wilmington,19810,04/03/2012,PV,Non_Residential,6.11,,,,21000.00,7082.50,,,Paid
R01551,Lewes,19958,05/21/2012,PV,Residential,6.11,,,,25578.00,7082.50,,,Paid
R01732,Rehoboth Beach,19971,02/06/2013,PV,Residential,6.11,,,,23434.50,7082.50,,,Paid
R00251,Newark,19711,09/12/2007,PV,Residential,6.12,,,,50120.00,25060.00,,,Paid
R01868,Newark,19711,09/09/2013,PV,Residential,6.12,,,,19044.40,7090.00,,,Paid
5204,Bear,19701,10/08/2014,PV,Residential,6.12,,,,30600.00,4530.00,rooftop,ppa,Paid
5414,Wilmington,19810,11/20/2014,PV,Residential,6.12,,,,30600.00,4530.00,rooftop,ppa,Paid
5540,Rehoboth Beach,19971,12/24/2014,PV,Residential,6.12,,,,29988.00,4530.00,rooftop,lease,Paid
5560,Newark,19702,01/03/2015,PV,Residential,6.12,,,,29988.00,4530.00,rooftop,ppa,Paid
5575,Wilmington,19808,01/05/2015,PV,Residential,6.12,,,,53729.00,4530.00,rooftop,ppa,Paid
5657,Rehoboth Beach,19971,01/22/2015,PV,Residential,6.12,,,,21756.00,4530.00,rooftop,owned,Paid
5797,New Castle,19720,02/09/2015,PV,Residential,6.12,,,,42075.00,4530.00,rooftop,lease,Paid
5884,Wilmington,19808,02/26/2015,PV,Residential,6.12,,,,63750.00,4530.00,rooftop,lease,Paid
5902,Bear,19701,03/02/2015,PV,Residential,6.12,,,,30600.00,4530.00,rooftop,ppa,Paid
5942,Newark,19711,03/05/2015,PV,Residential,6.12,,,,47175.00,4530.00,rooftop,lease,Paid
6268,Middletown,19709,05/20/2015,PV,Residential,6.12,,,,30600.00,4530.00,rooftop,ppa,Paid
5791,Millsboro,19966,02/26/2016,PV,Residential,6.12,,,,54825.00,4530.00,rooftop,ppa,Paid
7217,New Castle,19720,03/03/2016,PV,Residential,6.12,,,,30600.00,1000.00,rooftop,lease,Paid
R00357,Wilmington,19810,04/02/2008,PV,Residential,6.125,,,,48000.00,24000.00,,,Paid
R01910,Townsend,19734,10/21/2013,PV,Solar Lease,6.125,,,,28848.75,7093.75,,,Paid
R02213,Newark,19713,06/23/2014,PV,Solar Lease,6.125,,,,31237.50,7093.75,,,Paid
6107,Bear,19701,04/29/2015,PV,Residential,6.16,,,,20651.00,4540.00,rooftop,owned,Paid
6691,Dover,19904,09/20/2015,PV,Residential,6.16,,,,21606.00,4540.00,rooftop,owned,Paid
7010,Wilmington,19803,11/23/2015,PV,Residential,6.16,,,,19096.00,2982.00,rooftop,owned,Paid
7738,Wilmington,19810,05/05/2016,PV,Residential,6.16,,,,17340.00,2982.00,rooftop,owned,Paid
8778,Wilmington,19810,01/13/2017,PV,Residential,6.16,,,,22194.00,2982.00,rooftop,owned,Paid
